Status,Side,Time,Local,Dirty Price,Yield,Quantity,MinInc,SetDt,EBND Seller Broker Code,EBND Buyer Broker Code,Price,Bid Type,UserName,Account,Seq#,Brkr,System #,Net,Security (ASX),Security,ISIN
Open,B,12:24:08,BSRD2049,,5.7458,150000,,05/10/2021,PARA,,109,,JEAN ELMUDESI,,11,PADR,,166700,DOMREP 6.40 06/05/49,DOMREP 6.40 06/05/49,USP3579ECE51
Open,S,12:23:57,BSRD2049,,6.0981,150000,,05/10/2021,,PARA,104,,JEAN ELMUDESI,,10,PADR,,159200,DOMREP 6.40 06/05/49,DOMREP 6.40 06/05/49,USP3579ECE51
Open,B,12:23:48,BSRD2044,,5.5685,100000,,05/10/2021,PARA,,124,,JEAN ELMUDESI,,9,PADR,,127207.64,DOMREP 7.45 04/30/44,DOMREP 7.45 04/30/44,USP3579EAY34
Open,S,12:23:41,BSRD2044,,6.0577,100000,,05/10/2021,,PARA,117,,JEAN ELMUDESI,,8,PADR,,120207.64,DOMREP 7.45 04/30/44,DOMREP 7.45 04/30/44,USP3579EAY34
Open,B,12:23:19,BSRD2025,,1.8991,100000,,05/10/2021,PARA,,111.5,,JEAN ELMUDESI,,7,PADR,,112538.89,DOMREP 5 1/2 01/27/25,DOMREP 5 1/2 01/27/25,USP3579EBD87
Open,S,12:23:11,BSRD2025,,3.2513,100000,,05/10/2021,,PARA,107,,JEAN ELMUDESI,,6,PADR,,108038.89,DOMREP 5 1/2 01/27/25,DOMREP 5 1/2 01/27/25,USP3579EBD87
Open,B,12:22:50,BSRD2024,,0.6265,100000,,05/10/2021,PARA,,108,,JEAN ELMUDESI,,5,PADR,,110725.35,DOMREP 5 7/8 04/18/24,DOMREP 5 7/8 04/18/24,USP3579EAS65
Open,S,12:22:42,BSRD2024,,2.8413,100000,,05/10/2021,,PARA,104.5,,JEAN ELMUDESI,,4,PADR,,107225.35,DOMREP 5 7/8 04/18/24,DOMREP 5 7/8 04/18/24,USP3579EAS65
Open,B,12:22:20,MH22022,,0.545,100000,,06/10/2021,PARA,,104,,JEAN ELMUDESI,,3,PADR,,104909.59,DRGB 10 3/8 03/04/22,DRGB 10 3/8 03/04/22,DO1005204719
Open,S,12:22:08,MH22022,,5.2894,100000,,06/10/2021,,PARA,102,,JEAN ELMUDESI,,2,PADR,,102909.59,DRGB 10 3/8 03/04/22,DRGB 10 3/8 03/04/22,DO1005204719
